,alternate names,population,province,city,cost,latitude_city,longitude_city,distance
0,"'s Bosch,'s-Hertogenbosch,Bois-le-Duc,Bolduque,Boscoducale,De Bosk,Den Bosch,Hertogenbosch,Herzogenbusch,Khertogenbos,Oeteldonk,Silva Ducis,Хертогенбос,’s-Hertogenbosch",134520.0,Noord-Brabant,'s-Hertogenbosch,886.86,51.69917,5.30417,61.66496128935224
1,"Alkmaar,Alkmaer,Alkmar,Alkmaras,a er ke ma er,alkeumaleu,alkmar,arukumaru,Άλκμααρ,Алкмаар,Алкмар,Ալկմար,אלקמאר,آلکمار,ألكمار,ئەڵکمار,アルクマール,阿尔克马尔,알크마르",94853.0,Noord-Holland,Alkmaar,1007.39,52.63167,4.74861,82.71611594855864
2,Almere,176432.0,Flevoland,Almere,845.15,52.37025,5.21413,72.18533381577069
3,"Amersfoort,Amersfort,Amersforto,QYM,Амерсфорт",139914.0,Utrecht,Amersfoort,966.99,52.155,5.3875,68.37251263228025
4,"Amstelveen,Amstelven,Amstelveyn,Amstelvin,Nieuwer Amstel,a mu si te er fen,amseutelbein,amusuterufen,Амстелвен,Амстелвин,Ամստելվեյն,אמסטלפיין,آمستل‌فین,アムステルフェーン,阿姆斯特尔芬,암스텔베인",79639.0,Noord-Holland,Amstelveen,913.83,52.30083,4.86389,51.27729862139948
5,Amsterdam-Duivendrecht,4720.0,Noord-Holland,Amsterdam,926.73,52.32941,4.93964,56.74636688190809
6,"Apeldoarn,Apeldoorn,Apeldoorne,Apeldorn,Apeldornas,QYP,a po er duo lun,abldwrn,apeldoleun,aperudorun,apldwrn,epeladorna,xa phel dorn,Апелдорн,Ապելդորն,آبلدورن,آپلدورن,ایپلڈوم,एपेलडॉर्न,อาเพลโดร์น,აპელდორნი,アペルドールン,阿珀尔多伦,아펠도른",136670.0,Gelderland,Apeldoorn,826.56,52.21,5.96944,107.7179277923149
7,"Arecanum,Arnem,Arnema,Arnheim,Arnhem,Arnhemas,Arnhemia,Arnhim,Arném,Gemeen Arnem,ZYM,a na mu,aleunheom,anemu,arnahema,arnemi,arnhm,arnm,Άρνεμ,Арнем,Արնհեմ,ארנהם,آرنم,آرنهم,آرنہم,आर्नहेम,არნემი,アーネム,阿纳姆,아른험",141674.0,Gelderland,Arnhem,860.68,51.98,5.91111,98.91774603560188
8,"Breda,Breda khot,Brehda,Brenta,Brigita,Bréda,GLZ,be rda,beuleda,brda,brdh,breda,bryda,bu lei da,bureda,Μπρέντα,Бреда,Бреда хот,Брэда,Բրեդա,ברדה,بردا,بريدا,بریڈا,เบรดา,ბრედა,ブレダ,布雷达,브레다",167673.0,Noord-Brabant,Breda,909.8,51.58656,4.77596,41.31088244547611
9,"Bjussjum,Bussum,Busum,bu sen,bwswm,Бюссюм,Բուսում,بوسوم,布森",31334.0,Noord-Holland,Bussum,891.31,52.27333,5.16111,62.20007935137898
