,Alternate Names,Population,cost,Province,city,latitude,longitude
0,"RTM,Ratehrdam,Roterdam,Roterdama,Roterdamas,Roterdami,Roterdamo,Roterdan,Roterdao,Roterdão,Roterntam,Roterodamum,Rotterdam,Rottérdam,Róterdam,Róterdan,loteleudam,lu te dan,rattartem,rotaradema,rotterudamu,rtrdam,rwtrdam,rwtrdm,rxt the xr dam,Ρότερνταμ,Ратэрдам,Ротердам,Роттердам,ראטערדאם,רוטרדם,راٹرڈیم,رتردام,روتردام,ܪܘܛܪܕܐܡ,रॉटरडॅम,ராட்டர்டேம்,รอตเทอร์ดาม,ရော်တာဒမ်မြို့,როტერდამი,ロッテルダム,鹿特丹,로테르담",598199.0,857.05,Zuid-Holland,Rotterdam,51.9225,4.47917
1,"Schidamas,Schiedam,Skhidam,Skiedam,Sxidam,askhydam,si xi dan,ski dam,Схидам,Շխիդամ,اسخیدام,สกีดาม,斯希丹",75438.0,857.05,Zuid-Holland,Schiedam,51.91917,4.38889
2,"Barendrekht,Barendrext,ba lun de lei he te,baryndrykht,Барендрехт,Բարենդրեխտ,بارن‌درخت,باريندريخت,巴伦德雷赫特",38672.0,847.63,Zuid-Holland,Barendrecht,51.85667,4.53472
3,"Capelle,Capelle a/d IJssel,Capelle a/d Yssel,Capelle aan de IJssel,Capelle aan de Yssel,Capelle aan den IJssel,Capelle aan den Ijssel,Capelle aan den Yssel,Kapele an den Eysel,Kapelle,Kapelle-an-den-Ehjssel,ai se er he pan ka pei lei,ka pe lex xan dex xi seil,kabyla an dn aysl,kapelleoanden-eiseol,Капелле-ан-ден-Эйссел,Կապելե ան դեն Էյսել,كابيلا آن دن آيسل,کاپله ان‌دن ایسل,กาเปเลออานเดอไอเซิล,艾瑟尔河畔卡佩勒,카펠러안덴에이설",65255.0,842.92,Zuid-Holland,Capelle aan den IJssel,51.92917,4.57778
4,Hoogvliet Rotterdam,34950.0,835.85,Zuid-Holland,Hoogvliet Rotterdam,51.86333,4.3625
5,"Vlaardinge,Vlaardingen",73798.0,833.5,Zuid-Holland,Vlaardingen,51.9125,4.34167
6,"Bergsenkhuk,Бергсенхук",16579.0,831.14,Zuid-Holland,Bergschenhoek,51.99,4.49861
7,None,20189.0,826.43,Zuid-Holland,Berkel en Rodenrijs,51.99313,4.47865
8,"Ridderkerk,Риддеркерк",45189.0,824.08,Zuid-Holland,Ridderkerk,51.8725,4.60278
9,None,6114.0,814.66,Zuid-Holland,Krimpen aan de Lek,51.8931,4.6275
10,Spijkenisse,74988.0,877.61,Zuid-Holland,Spijk,51.845,4.32917
11,None,None,800.53,Zuid-Holland,Delfgauw,52.00958,4.39564
12,"Pijnacker,Pynakker",18695.0,798.17,Zuid-Holland,Pijnacker,52.01954,4.42946
13,"Skhipljojden,Схиплёйден",3635.0,795.82,Zuid-Holland,Schipluiden,51.97583,4.31389
14,"Hendrik-Ido-Ambaxt,Khendrik-Ido-Ambakht,heng de li ke-yi duo-a mu ba he te,hndryk- aydw- ambakht,Хендрик-Идо-Амбахт,Հենդրիկ-Իդո-Ամբախտ,هندريك- إيدو- أمباخت,亨德里克－伊多－阿姆巴赫特",21027.0,793.46,Zuid-Holland,Hendrik-Ido-Ambacht,51.84417,4.63889
15,None,72740.0,809.95,Zuid-Holland,Spijkenisse,51.8333,4.3167
16,"Delft,Ntelpht,dai er fu te,derufuto shi,dlpt,Ντελφτ,Делфт,דלפט,デルフト市,代尔夫特",95060.0,788.75,Zuid-Holland,Delft,52.00667,4.35556
17,None,12420.0,810.86,Zuid-Holland,Rozenburg,51.90417,4.24861
18,Maassluis,32780.0,814.02,Zuid-Holland,Maassluis,51.92333,4.25
19,None,7932.0,817.18,Zuid-Holland,Moordrecht,51.9861,4.6681
20,"Zeutermaer,Zoetermeer,zwtrmyyr,זוטרמייר",115845.0,839.29,Zuid-Holland,Zoetermeer,52.0575,4.49306
21,"Papendrekht,Papendrext,pa peng de lei he te,Папендрехт,Պապենդրեխտ,帕彭德雷赫特",31621.0,838.03,Zuid-Holland,Papendrecht,51.83167,4.6875
22,"Doardt,Dordracum,Dordrech,Dordrecht,Dordrechtas,Dordrehta,Dordrehto,Dordreque,Dordreĥto,Dordt,Dort,Ntorntrecht,dorutorehito,Ντόρντρεχτ,ドルトレヒト",119260.0,835.52,Zuid-Holland,Dordrecht,51.81,4.67361
23,None,1808.0,841.75,Zuid-Holland,Zuidland,51.8219,4.2581
24,None,47299.0,847.98,Zuid-Holland,Rijswijk,52.03634,4.32501
25,None,None,879.15,Zuid-Holland,Wateringen,52.02351,4.27459
26,None,25338.0,916.54,Zuid-Holland,Waddinxveen,52.045,4.65139
27,"Voorburg,fwrbwrkh,Воорбург,فوربورخ",38000.0,941.47,Zuid-Holland,Voorburg,52.07417,4.35972
28,None,39567.0,856.64,Zuid-Holland,Leidschendam,52.0833,4.4
29,"Chaounta,Gauda,Gaudanum,Gouda,Guda,Quda,ga'uda,gauda,ghwda,ghwdt,goda,hao da,hauda,kea da,khawda,Χάουντα,Гауда,Գաուդա,خاودا,غودا,غودة,गउडा,గౌడ,เกาดา,გაუდა,ゴーダ,豪达,하우다",71952.0,771.8,Zuid-Holland,Gouda,52.01667,4.70833
30,"Bloemendaal,Bloemendaalseweg",9900.0,779.58,Zuid-Holland,Bloemendaal,52.02878,4.6944
31,"Brile,Brille,Bryle,Den Briel,brylh,bu li lei,Брилле,Брыле,Брілле,Բրիլե,بريله,布里勒",2765.0,792.54,Zuid-Holland,Brielle,51.90167,4.1625
32,"'s-Gravenhage,A Haia,An Haig,An Háig,Chage,D'n Haog,De Haach,Den Haag,Gaaga,HAG,Haag,Hag,Haga,Hago,Hague,Hága,Hāga,Khag,Khaga,L'Aia,La Haia,La Haya,La Haye,Lahey,The Hague,den・hagu,haaga,hai ya,heigeu,lahay,lahh,Χάγη,Гаага,Хаг,Хага,האג,لاهاي,لاهه,ჰააგა,デン・ハーグ,海牙,헤이그",474292.0,808.1,Zuid-Holland,Den Haag,52.07667,4.29861
33,"Boskop,bo si ke pu,Боскоп,Բոսկոպ,博斯科普",15222.0,809.39,Zuid-Holland,Boskoop,52.075,4.65556
34,None,11366.0,810.67,Zuid-Holland,Hazerswoude-Dorp,52.1,4.5833
35,"Slidrekht,Sliedrech,Слидрехт",23854.0,811.96,Zuid-Holland,Sliedrecht,51.82083,4.77639
36,"lei wei ke,雷韦克",12817.0,814.53,Zuid-Holland,Reeuwijk,52.04667,4.725
37,ہاسٹریچٹ,4500.0,815.81,Zuid-Holland,Haastrecht,52.00074,4.77639
38,None,19190.0,819.67,Zuid-Holland,'s-Gravenzande,52.00167,4.16528
39,Zoeterwoude,4230.0,820.95,Zuid-Holland,Zoeterwoude,52.12,4.49583
40,None,3370.0,823.52,Noord-Brabant,Willemstad,51.6919,4.4378
41,"Monster,Монстер",11580.0,828.66,Zuid-Holland,Monster,52.02583,4.175
42,"Hoek van Holland,Hook of Holland,Khoek van Kholland,Khuk-van-Kholland,Oek van Olland,he lan jiao gang,Хоек ван Холланд,Хук-ван-Холланд,荷蘭角港",9400.0,832.52,Zuid-Holland,Hoek van Holland,51.9775,4.13333
43,None,22468.0,831.23,Zuid-Holland,Voorschoten,52.1275,4.44861
44,"Helefutslaus,Hellevoet,Khelevutslojs,Khellevutsljojs,he lei fu ci lao si,hylyfwtslaws,Хелевутслојс,Хеллевутслёйс,Հելեֆուտսլաուս,هيليفوتسلاوس,赫勒富茨劳斯",21927.0,835.09,Zuid-Holland,Hellevoetsluis,51.83333,4.13333
45,None,None,849.22,Zuid-Holland,Hazerswoude-Rijndijk,52.1292,4.5931
46,None,25353.0,854.36,Zuid-Holland,Wassenaar,52.14583,4.40278
47,"Alfen,Alphen,Alphen a/d Rijn,Alphen aan de Rijn,Alphen aan den Rijn,Alphen aan der Rijn",70251.0,864.64,Zuid-Holland,Alphen aan den Rijn,52.12917,4.65546
48,"Rockanje,Rokanje,Rokkanje",1275.0,867.21,Zuid-Holland,Rockanje,51.87167,4.07083
49,"Lajden,Leida,Leiden,Leidenas,Leidene,Leie,Leien,Leinten,Lejda,Lejdehn,Lejden,Lejdeni,Leyde,Leyden,Lugdunum,Lugdunum Batavorum,Lèida,la'idena,lai dun,laitan,laydn,laydyn,leideni,leideon,li dein,lydn,lyydn,raiden,Λέιντεν,Лайден,Лајден,Лейден,Лейдэн,Լեյդեն,ליידן,لائڈن,لايدن,لايدين,لیدن,লাইডেন,லைடன்,ไลเดิน,ლეიდენი,ライデン,莱顿,레이던",119713.0,868.5,Zuid-Holland,Leiden,52.15833,4.49306
50,"Lejderdorp,Lejderdorpe,Leyderdorp,lai de duo pu,laydrdwrb,Лейдердорп,Лейдердорпе,Լեյդերդորպ,لايدردورب,莱德多普",25966.0,868.87,Zuid-Holland,Leiderdorp,52.15833,4.52917
51,None,18051.0,869.24,Zuid-Holland,Hardinxveld-Giessendam,51.83,4.87
52,Zevenbergschehoek,1245.0,871.48,Noord-Brabant,Zevenbergschen Hoek,51.6725,4.67917
53,"Oegstgeest,Oestgeest",21149.0,874.08,Zuid-Holland,Oegstgeest,52.18,4.46944
54,"LID,Valkenburg",3925.0,874.45,Zuid-Holland,Valkenburg,52.18,4.43194
55,"Verkendam,Werkendam,Веркендам",11204.0,875.2,Noord-Brabant,Werkendam,51.81,4.89444
56,"Reinsburgum,Rynsburch",7990.0,876.69,Zuid-Holland,Rijnsburg,52.19,4.44167
57,"Katwijk,Katwijk a/d Rijn,Katwijk aan de Rijn,Katwijk aan den Rijn",5940.0,877.43,Zuid-Holland,Katwijk,52.19417,4.42222
58,"Varmond,Вармонд",4275.0,878.17,Zuid-Holland,Warmond,52.19667,4.50278
59,None,None,878.55,Zuid-Holland,Oud Ade,52.1916,4.5666
60,None,1468.0,879.29,Zuid-Holland,Hoornaar,51.8767,4.9469
61,"Die Meede,میڈ، نیدرلینڈز",11795.0,881.52,Noord-Brabant,Made,51.67667,4.79306
62,"Verden,Vurden,Woerden,wu er deng,Верден,Вурден,Վուրդեն,武爾登",48431.0,883.38,Utrecht,Woerden,52.085,4.88333
63,None,None,884.13,Zuid-Holland,Kaag,52.21326,4.55833
64,"Geertruidenberg,Getrudenberg,Mont-Sainte-Gertrude,Xeyrtraudenberx,hai te lei yi deng bei he,khyrtrawdnbyrkh,Гетруденберг,Խեյրտրաուդենբերխ,خيرتراودنبيرخ,海特勒伊登貝赫",20941.0,886.36,Noord-Brabant,Geertruidenberg,51.70167,4.85694
65,"Vorkhaut,phuraha'uta,Ворхаут,फूरहाउट",4670.0,886.73,Zuid-Holland,Voorhout,52.22167,4.48472
66,None,None,887.1,Utrecht,Meerkerk,51.89966,4.98477
67,"Chorin'chem,Garkum,Gorcum,Goricum,Gorinkhem,Gorkum,Xorinxem,holinheom,horukumu,huo lin he mu,khwrykwm,Χόρινχεμ,Горинхем,Ґорінхем,Խորինխեմ,خوريكوم,ホルクム,霍林赫姆,호린험",34736.0,887.85,Zuid-Holland,Gorinchem,51.83652,4.97243
68,None,None,888.59,Noord-Holland,Buitenkaag,52.21994,4.56023
69,"Sassenkhejm,Сассенхейм",15510.0,889.34,Zuid-Holland,Sassenheim,52.225,4.52222
70,None,None,889.71,Noord-Brabant,Oudenbosch,51.5892,4.5239
71,None,3007.0,887.1,Zuid-Holland,Meerkerk,51.92,4.9942
72,Noordwijk,24363.0,892.31,Zuid-Holland,Noordwijk,52.234,4.44474
73,None,None,892.68,Utrecht,Benschop,52.00901,4.9789
74,None,1400.0,894.17,Utrecht,Nieuwland,51.90167,5.01389
75,Steenbergen,23582.0,894.92,Noord-Brabant,Steenbergen,51.58417,4.31944
76,None,None,895.85,Zuid-Holland,Noorden,52.16627,4.82709
77,None,3100.0,896.78,Zeeland,Bruinisse,51.66167,4.09444
78,"Alddoarp,Auddorp,Ouwdurp,Ауддорп",5930.0,898.27,Zuid-Holland,Ouddorp,51.81167,3.93472
79,None,None,898.08,Noord-Holland,Leimuiderbrug,52.23114,4.66964
80,Sint Filipsland,2095.0,899.38,Zeeland,Sint Philipsland,51.61667,4.16528
81,None,43774.0,900.87,Noord-Brabant,Etten-Leur,51.5706,4.6356
82,None,1575.0,901.24,Noord-Brabant,Zegge,51.55667,4.51806
83,None,11875.0,902.36,Zuid-Holland,Noordwijkerhout,52.26167,4.49306
84,"Oosterhout,Osterkhout,ao si te hao te,Остерхоут,奧斯特豪特",53107.0,903.1,Noord-Brabant,Oosterhout,51.645,4.85972
85,"Lisse,Лиссе",22321.0,903.47,Zuid-Holland,Lisse,52.26,4.55694
86,Rijswijk (NB),1862.0,847.98,Noord-Brabant,Rijswijk,51.7975,5.025
87,None,7230.0,907.94,Noord-Brabant,Teteringen,51.60917,4.82083
88,"IJselstein,Issel'stejn,Иссельстейн",33886.0,908.31,Utrecht,IJsselstein,52.02,5.04306
