,city,deal,dimensions living area,image,img,latitude,layout number of rooms,longitude,outdoor garden,price,transfer available,transfer interior,transfer offered since,transfer status,url
0,Amsterdam,0.0353664549558867,70,<a href=https://www.pararius.com/apartment-for-rent/amsterdam/c98991b5/narva-eiland target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/c98991b5-081a-5cf2-985d-2990a75bf77c/a291f8be884e05c4173d6749897c5683.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/c98991b5-081a-5cf2-985d-2990a75bf77c/a291f8be884e05c4173d6749897c5683.jpg?width=600&auto=webp,52.393162118132,2,4.8813877940795,0,1975,05-01-2022,Furnished,18-04-2022,For rent,https://www.pararius.com/apartment-for-rent/amsterdam/c98991b5/narva-eiland
1,Eindhoven,0.05873817821274303,100,<a href=https://www.pararius.com/apartment-for-rent/eindhoven/412ed225/emmasingel target='blank'><img src=https://media.pararius.nl/image/PR0001663000/PR0001663636/image/jpeg/400x600/EindhovenEmmasingel-3daf_10.jpg title='rent' width='150' height='100'/></a>,https://media.pararius.nl/image/PR0001663000/PR0001663636/image/jpeg/400x600/EindhovenEmmasingel-3daf_10.jpg,51.439440614887,2,5.4754105043362,0,1650,05-01-2022,Furnished,19-04-2022,For rent,https://www.pararius.com/apartment-for-rent/eindhoven/412ed225/emmasingel
2,Rotterdam,0.08108350019515001,50,<a href=https://www.pararius.com/apartment-for-rent/rotterdam/18ea6d93/poolsestraat target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/18ea6d93-7c76-50a9-be44-e57e3d81e8f2/2a08d9b1f364752b010c629a8459d13f.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/18ea6d93-7c76-50a9-be44-e57e3d81e8f2/2a08d9b1f364752b010c629a8459d13f.jpg?width=600&auto=webp,51.915904403228,3,4.4218112600949,0,650,03-05-2022,Upholstered,18-04-2022,For rent,https://www.pararius.com/apartment-for-rent/rotterdam/18ea6d93/poolsestraat
3,Amsterdam,0.02985996884754568,50,<a href=https://www.pararius.com/apartment-for-rent/amsterdam/98468aca/korte-leidsedwarsstraat target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/98468aca-0bda-58d3-8397-e3f5bf8206df/03bc5bc183d27af8e72c33f25808f4d9.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/98468aca-0bda-58d3-8397-e3f5bf8206df/03bc5bc183d27af8e72c33f25808f4d9.jpg?width=600&auto=webp,52.362475854529,1,4.8860099326295,0,1650,03-05-2022,Furnished,18-04-2022,For rent,https://www.pararius.com/apartment-for-rent/amsterdam/98468aca/korte-leidsedwarsstraat
4,Amsterdam,0.04512506317367873,74,<a href=https://www.pararius.com/apartment-for-rent/amsterdam/401044fe/leusdenhof target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/401044fe-1d5d-5558-aab1-3b577c7e2b30/514a6124d94308788e3c7af7d1579e50.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/401044fe-1d5d-5558-aab1-3b577c7e2b30/514a6124d94308788e3c7af7d1579e50.jpg?width=600&auto=webp,52.306865307507,3,4.9800170398187,0,1650,05-01-2022,Furnished,17-04-2022,For rent,https://www.pararius.com/apartment-for-rent/amsterdam/401044fe/leusdenhof
5,Amsterdam,0.04527247297821232,90,<a href=https://www.pararius.com/apartment-for-rent/amsterdam/cdabbe2d/van-nijenrodeweg target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/cdabbe2d-d6b9-5523-a21f-293a6f46b8f9/9d24d947e51ec42d78071d0b65bc5abc.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/cdabbe2d-d6b9-5523-a21f-293a6f46b8f9/9d24d947e51ec42d78071d0b65bc5abc.jpg?width=600&auto=webp,52.32753892169001,3,4.875164429436401,0,2000,03-05-2022,Upholstered,18-04-2022,For rent,https://www.pararius.com/apartment-for-rent/amsterdam/cdabbe2d/van-nijenrodeweg
6,Amsterdam,0.0478157254601919,86,<a href=https://www.pararius.com/apartment-for-rent/amsterdam/293c4cab/knsm-laan target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/293c4cab-4c67-549e-9690-1a816670fe44/d6da573084cfe9575e342a1bbb9236b4.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/293c4cab-4c67-549e-9690-1a816670fe44/d6da573084cfe9575e342a1bbb9236b4.jpg?width=600&auto=webp,52.37739953863201,3,4.9415207228043,0,1800,03-05-2022,,18-04-2022,For rent,https://www.pararius.com/apartment-for-rent/amsterdam/293c4cab/knsm-laan
7,Eindhoven,0.024351770546900336,18,<a href=https://www.pararius.com/room-for-rent/eindhoven/e4363731/kronehoefstraat target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/e4363731-569d-55ed-b729-735b219c6c43/1b375bb14a7e2995006ec8219451e218.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/e4363731-569d-55ed-b729-735b219c6c43/1b375bb14a7e2995006ec8219451e218.jpg?width=600&auto=webp,51.45252953202501,1,5.467870731230099,0,695,05-01-2022,Furnished,18-04-2022,For rent,https://www.pararius.com/room-for-rent/eindhoven/e4363731/kronehoefstraat
8,Dordrecht,0.06318401983564109,52,<a href=https://www.pararius.com/apartment-for-rent/dordrecht/9ef9b78d/nassauplantsoen target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/9ef9b78d-e93f-5dde-9dfb-1483ea18c60f/1dfe5dd7d66532e6bd0c664f9796c3ee.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/9ef9b78d-e93f-5dde-9dfb-1483ea18c60f/1dfe5dd7d66532e6bd0c664f9796c3ee.jpg?width=600&auto=webp,51.804126942517,2,4.6681352157045,0,837,08-01-2022,Upholstered,18-04-2022,For rent,https://www.pararius.com/apartment-for-rent/dordrecht/9ef9b78d/nassauplantsoen
9,Utrecht,0.04080223517505153,100,<a href=https://www.pararius.com/house-for-rent/utrecht/c562a85a/lauwerecht target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/c562a85a-9db5-5520-a45f-9f448cf25c9a/3db0970ee753cadac204514dbebe597b.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/c562a85a-9db5-5520-a45f-9f448cf25c9a/3db0970ee753cadac204514dbebe597b.jpg?width=600&auto=webp,52.103097511674,4,5.1118185243377,0,2500,06-01-2022,Furnished,12-04-2022,Under option,https://www.pararius.com/house-for-rent/utrecht/c562a85a/lauwerecht
10,Den Haag,0.05402288973146466,60,<a href=https://www.pararius.com/apartment-for-rent/den-haag/6eea1318/oranjeplein target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/6eea1318-1484-57a2-8f9c-0738ae65e950/85a98a611756f49d9fc7f81730278331.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/6eea1318-1484-57a2-8f9c-0738ae65e950/85a98a611756f49d9fc7f81730278331.jpg?width=600&auto=webp,52.071315818082,3,4.3162742314069,0,1145,03-05-2022,Upholstered,15-04-2022,For rent,https://www.pararius.com/apartment-for-rent/den-haag/6eea1318/oranjeplein
11,Den Haag,0.04035692254855666,20,<a href=https://www.pararius.com/room-for-rent/den-haag/6a91a8d8/westduinweg target='blank'><img src=https://media.pararius.nl/image/PR0001663000/PR0001663558/image/jpeg/400x600/DenHaagWestduinweg-cae8_1.jpg title='rent' width='150' height='100'/></a>,https://media.pararius.nl/image/PR0001663000/PR0001663558/image/jpeg/400x600/DenHaagWestduinweg-cae8_1.jpg,52.09818246427101,1,4.2715408585266,0,495,03-05-2022,Furnished,19-04-2022,For rent,https://www.pararius.com/room-for-rent/den-haag/6a91a8d8/westduinweg
12,Den Haag,0.07585128178616032,88,<a href=https://www.pararius.com/apartment-for-rent/den-haag/21667490/1e-sweelinckstraat target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/21667490-9c29-504c-91be-d101436cf655/d51d95cb095149d60653691430ff6bd0.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/21667490-9c29-504c-91be-d101436cf655/d51d95cb095149d60653691430ff6bd0.jpg?width=600&auto=webp,52.084172132235,1,4.2898291588049,0,1150,16-05-2022,Upholstered,15-04-2022,For rent,https://www.pararius.com/apartment-for-rent/den-haag/21667490/1e-sweelinckstraat
13,Utrecht,0.07236966688284246,144,<a href=https://www.pararius.com/apartment-for-rent/utrecht/a8fd04e3/oorsprongpark target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/a8fd04e3-57ef-5ef7-9d13-ba9134e163cc/444b47e47be3ba9cdc762a42e5a39e59.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/a8fd04e3-57ef-5ef7-9d13-ba9134e163cc/444b47e47be3ba9cdc762a42e5a39e59.jpg?width=600&auto=webp,52.095068455659,4,5.137139731964799,0,1995,03-05-2022,Furnished,01-03-2022,Under option,https://www.pararius.com/apartment-for-rent/utrecht/a8fd04e3/oorsprongpark
14,Voorburg,0.051982317386407476,80,<a href=https://www.pararius.com/apartment-for-rent/voorburg/088fd9d5/van-alphenstraat target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/088fd9d5-f169-5c6d-8e47-55bbb76bf28c/483a9af82a1b763c10098e6eca2ec76f.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/088fd9d5-f169-5c6d-8e47-55bbb76bf28c/483a9af82a1b763c10098e6eca2ec76f.jpg?width=600&auto=webp,52.076839301104,4,4.3404054119714,0,1595,03-05-2022,Furnished,22-03-2022,For rent,https://www.pararius.com/apartment-for-rent/voorburg/088fd9d5/van-alphenstraat
15,Leiden,0.04142493058737247,30,<a href=https://www.pararius.com/apartment-for-rent/leiden/204fd7c4/morsstraat target='blank'><img src=https://casco-media-prod.global.ssl.fastly.net/204fd7c4-a152-5025-8a24-0a6fe31a4067/ee1e8b464a8a5ab3449b277fdfc02718.jpg?width=600&auto=webp title='rent' width='150' height='100'/></a>,https://casco-media-prod.global.ssl.fastly.net/204fd7c4-a152-5025-8a24-0a6fe31a4067/ee1e8b464a8a5ab3449b277fdfc02718.jpg?width=600&auto=webp,52.161855750215,1,4.4838635710758,0,720,03-05-2022,Upholstered,15-04-2022,For rent,https://www.pararius.com/apartment-for-rent/leiden/204fd7c4/morsstraat
