,situation,price,city,key
0,Average Monthly Net Salary (After Tax) ,1550.5,Zwolle,Salaries And Financing
1,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ",1.98,Zwolle,Salaries And Financing
2,Price per Square Meter to Buy Apartment in City Centre ,3250.0,Zwolle,Buy Apartment Price
3,Price per Square Meter to Buy Apartment Outside of Centre ,1743.5,Zwolle,Buy Apartment Price
4,Apartment (1 bedroom) in City Centre ,1043.33,Zwolle,Rent Per Month
5,Apartment (1 bedroom) Outside of Centre ,883.33,Zwolle,Rent Per Month
6,Apartment (3 bedrooms) in City Centre ,1866.67,Zwolle,Rent Per Month
7,Apartment (3 bedrooms) Outside of Centre ,1633.33,Zwolle,Rent Per Month
8,1 Pair of Jeans (Levis 501 Or Similar) ,65.0,Zwolle,Clothing And Shoes
9,"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",65.0,Zwolle,Clothing And Shoes
10,1 Pair of Nike Running Shoes (Mid-Range) ,72.5,Zwolle,Clothing And Shoes
11,1 Pair of Men Leather Business Shoes ,104.28,Zwolle,Clothing And Shoes
12,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ",2980.0,Zwolle,Childcare
13,"International Primary School, Yearly for 1 Child ",16500.0,Zwolle,Childcare
14,"Fitness Club, Monthly Fee for 1 Adult ",50.83,Zwolle,Sports And Leisure
15,Tennis Court Rent (1 Hour on Weekend) ,18.0,Zwolle,Sports And Leisure
16,"Cinema, International Release, 1 Seat ",13.25,Zwolle,Sports And Leisure
17,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",198.0,Zwolle,Utilities (Monthly)
18,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,0.35,Zwolle,Utilities (Monthly)
19,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ",47.9,Zwolle,Utilities (Monthly)
20,One-way Ticket (Local Transport) ,3.25,Zwolle,Transportation
21,Monthly Pass (Regular Price) ,90.0,Zwolle,Transportation
22,Taxi Start (Normal Tariff) ,4.0,Zwolle,Transportation
23,Taxi 1km (Normal Tariff) ,2.5,Zwolle,Transportation
24,Taxi 1hour Waiting (Normal Tariff) ,44.92,Zwolle,Transportation
25,Gasoline (1 liter) ,1.65,Zwolle,Transportation
26,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,29653.0,Zwolle,Transportation
27,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,38965.0,Zwolle,Transportation
28,"Milk (regular), (1 liter) ",0.9,Zwolle,Markets
29,Loaf of Fresh White Bread (500g) ,1.2,Zwolle,Markets
30,"Rice (white), (1kg) ",3.0,Zwolle,Markets
31,Eggs (regular) (12) ,3.8,Zwolle,Markets
32,Local Cheese (1kg) ,14.0,Zwolle,Markets
33,Chicken Fillets (1kg) ,7.75,Zwolle,Markets
34,Beef Round (1kg) (or Equivalent Back Leg Red Meat) ,12.0,Zwolle,Markets
35,Apples (1kg) ,3.0,Zwolle,Markets
36,Banana (1kg) ,3.0,Zwolle,Markets
37,Oranges (1kg) ,2.5,Zwolle,Markets
38,Tomato (1kg) ,2.0,Zwolle,Markets
39,Potato (1kg) ,2.0,Zwolle,Markets
40,Onion (1kg) ,1.9,Zwolle,Markets
41,Lettuce (1 head) ,0.9,Zwolle,Markets
42,Water (1.5 liter bottle) ,1.0,Zwolle,Markets
43,Bottle of Wine (Mid-Range) ,6.0,Zwolle,Markets
44,Domestic Beer (0.5 liter bottle) ,1.0,Zwolle,Markets
45,Imported Beer (0.33 liter bottle) ,2.0,Zwolle,Markets
46,Cigarettes 20 Pack (Marlboro) ,8.0,Zwolle,Markets
47,"Meal, Inexpensive Restaurant ",18.5,Zwolle,Restaurants
48,"Meal for 2 People, Mid-range Restaurant, Three-course ",71.5,Zwolle,Restaurants
49,McMeal at McDonalds (or Equivalent Combo Meal) ,7.9,Zwolle,Restaurants
50,Domestic Beer (0.5 liter draught) ,3.93,Zwolle,Restaurants
51,Imported Beer (0.33 liter bottle) ,5.0,Zwolle,Restaurants
52,Cappuccino (regular) ,3.0,Zwolle,Restaurants
53,Coke/Pepsi (0.33 liter bottle) ,2.3,Zwolle,Restaurants
54,Water (0.33 liter bottle)  ,1.52,Zwolle,Restaurants
55,Average Monthly Net Salary (After Tax) ,1550.5,Zutphen,Salaries And Financing
56,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ",1.98,Zutphen,Salaries And Financing
57,Price per Square Meter to Buy Apartment in City Centre ,3250.0,Zutphen,Buy Apartment Price
58,Price per Square Meter to Buy Apartment Outside of Centre ,1743.5,Zutphen,Buy Apartment Price
59,Apartment (1 bedroom) in City Centre ,1043.33,Zutphen,Rent Per Month
60,Apartment (1 bedroom) Outside of Centre ,883.33,Zutphen,Rent Per Month
61,Apartment (3 bedrooms) in City Centre ,1866.67,Zutphen,Rent Per Month
62,Apartment (3 bedrooms) Outside of Centre ,1633.33,Zutphen,Rent Per Month
63,1 Pair of Jeans (Levis 501 Or Similar) ,65.0,Zutphen,Clothing And Shoes
64,"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",65.0,Zutphen,Clothing And Shoes
65,1 Pair of Nike Running Shoes (Mid-Range) ,72.5,Zutphen,Clothing And Shoes
66,1 Pair of Men Leather Business Shoes ,104.28,Zutphen,Clothing And Shoes
67,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ",2980.0,Zutphen,Childcare
68,"International Primary School, Yearly for 1 Child ",16500.0,Zutphen,Childcare
69,"Fitness Club, Monthly Fee for 1 Adult ",50.83,Zutphen,Sports And Leisure
70,Tennis Court Rent (1 Hour on Weekend) ,18.0,Zutphen,Sports And Leisure
71,"Cinema, International Release, 1 Seat ",13.25,Zutphen,Sports And Leisure
72,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",198.0,Zutphen,Utilities (Monthly)
73,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,0.35,Zutphen,Utilities (Monthly)
74,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ",47.9,Zutphen,Utilities (Monthly)
75,One-way Ticket (Local Transport) ,3.25,Zutphen,Transportation
76,Monthly Pass (Regular Price) ,90.0,Zutphen,Transportation
77,Taxi Start (Normal Tariff) ,4.0,Zutphen,Transportation
78,Taxi 1km (Normal Tariff) ,2.5,Zutphen,Transportation
79,Taxi 1hour Waiting (Normal Tariff) ,44.92,Zutphen,Transportation
80,Gasoline (1 liter) ,1.65,Zutphen,Transportation
81,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,29653.0,Zutphen,Transportation
82,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,38965.0,Zutphen,Transportation
83,"Milk (regular), (1 liter) ",0.9,Zutphen,Markets
84,Loaf of Fresh White Bread (500g) ,1.2,Zutphen,Markets
85,"Rice (white), (1kg) ",3.0,Zutphen,Markets
86,Eggs (regular) (12) ,3.8,Zutphen,Markets
87,Local Cheese (1kg) ,14.0,Zutphen,Markets
88,Chicken Fillets (1kg) ,7.75,Zutphen,Markets
89,Beef Round (1kg) (or Equivalent Back Leg Red Meat) ,12.0,Zutphen,Markets
90,Apples (1kg) ,3.0,Zutphen,Markets
91,Banana (1kg) ,3.0,Zutphen,Markets
92,Oranges (1kg) ,2.5,Zutphen,Markets
93,Tomato (1kg) ,2.0,Zutphen,Markets
94,Potato (1kg) ,2.0,Zutphen,Markets
95,Onion (1kg) ,1.9,Zutphen,Markets
96,Lettuce (1 head) ,0.9,Zutphen,Markets
97,Water (1.5 liter bottle) ,1.0,Zutphen,Markets
98,Bottle of Wine (Mid-Range) ,6.0,Zutphen,Markets
99,Domestic Beer (0.5 liter bottle) ,1.0,Zutphen,Markets
100,Imported Beer (0.33 liter bottle) ,2.0,Zutphen,Markets
101,Cigarettes 20 Pack (Marlboro) ,8.0,Zutphen,Markets
102,"Meal, Inexpensive Restaurant ",18.5,Zutphen,Restaurants
103,"Meal for 2 People, Mid-range Restaurant, Three-course ",71.5,Zutphen,Restaurants
104,McMeal at McDonalds (or Equivalent Combo Meal) ,7.9,Zutphen,Restaurants
105,Domestic Beer (0.5 liter draught) ,3.93,Zutphen,Restaurants
106,Imported Beer (0.33 liter bottle) ,5.0,Zutphen,Restaurants
107,Cappuccino (regular) ,3.0,Zutphen,Restaurants
108,Coke/Pepsi (0.33 liter bottle) ,2.3,Zutphen,Restaurants
109,Water (0.33 liter bottle)  ,1.52,Zutphen,Restaurants
110,Average Monthly Net Salary (After Tax) ,1550.5,Zoetermeer,Salaries And Financing
111,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ",1.98,Zoetermeer,Salaries And Financing
112,Price per Square Meter to Buy Apartment in City Centre ,3250.0,Zoetermeer,Buy Apartment Price
113,Price per Square Meter to Buy Apartment Outside of Centre ,1743.5,Zoetermeer,Buy Apartment Price
114,Apartment (1 bedroom) in City Centre ,1043.33,Zoetermeer,Rent Per Month
115,Apartment (1 bedroom) Outside of Centre ,883.33,Zoetermeer,Rent Per Month
116,Apartment (3 bedrooms) in City Centre ,1866.67,Zoetermeer,Rent Per Month
117,Apartment (3 bedrooms) Outside of Centre ,1633.33,Zoetermeer,Rent Per Month
118,1 Pair of Jeans (Levis 501 Or Similar) ,65.0,Zoetermeer,Clothing And Shoes
119,"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",65.0,Zoetermeer,Clothing And Shoes
120,1 Pair of Nike Running Shoes (Mid-Range) ,72.5,Zoetermeer,Clothing And Shoes
121,1 Pair of Men Leather Business Shoes ,104.28,Zoetermeer,Clothing And Shoes
122,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ",2980.0,Zoetermeer,Childcare
123,"International Primary School, Yearly for 1 Child ",16500.0,Zoetermeer,Childcare
124,"Fitness Club, Monthly Fee for 1 Adult ",50.83,Zoetermeer,Sports And Leisure
125,Tennis Court Rent (1 Hour on Weekend) ,18.0,Zoetermeer,Sports And Leisure
126,"Cinema, International Release, 1 Seat ",13.25,Zoetermeer,Sports And Leisure
127,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",198.0,Zoetermeer,Utilities (Monthly)
128,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,0.35,Zoetermeer,Utilities (Monthly)
129,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ",47.9,Zoetermeer,Utilities (Monthly)
130,One-way Ticket (Local Transport) ,3.25,Zoetermeer,Transportation
131,Monthly Pass (Regular Price) ,90.0,Zoetermeer,Transportation
132,Taxi Start (Normal Tariff) ,4.0,Zoetermeer,Transportation
133,Taxi 1km (Normal Tariff) ,2.5,Zoetermeer,Transportation
134,Taxi 1hour Waiting (Normal Tariff) ,44.92,Zoetermeer,Transportation
135,Gasoline (1 liter) ,1.65,Zoetermeer,Transportation
136,Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) ,29653.0,Zoetermeer,Transportation
137,Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) ,38965.0,Zoetermeer,Transportation
138,"Milk (regular), (1 liter) ",0.9,Zoetermeer,Markets
139,Loaf of Fresh White Bread (500g) ,1.2,Zoetermeer,Markets
140,"Rice (white), (1kg) ",3.0,Zoetermeer,Markets
141,Eggs (regular) (12) ,3.8,Zoetermeer,Markets
142,Local Cheese (1kg) ,14.0,Zoetermeer,Markets
143,Chicken Fillets (1kg) ,7.75,Zoetermeer,Markets
144,Beef Round (1kg) (or Equivalent Back Leg Red Meat) ,12.0,Zoetermeer,Markets
145,Apples (1kg) ,3.0,Zoetermeer,Markets
146,Banana (1kg) ,3.0,Zoetermeer,Markets
147,Oranges (1kg) ,2.5,Zoetermeer,Markets
148,Tomato (1kg) ,2.0,Zoetermeer,Markets
149,Potato (1kg) ,2.0,Zoetermeer,Markets
150,Onion (1kg) ,1.9,Zoetermeer,Markets
151,Lettuce (1 head) ,0.9,Zoetermeer,Markets
152,Water (1.5 liter bottle) ,1.0,Zoetermeer,Markets
153,Bottle of Wine (Mid-Range) ,6.0,Zoetermeer,Markets
154,Domestic Beer (0.5 liter bottle) ,1.0,Zoetermeer,Markets
155,Imported Beer (0.33 liter bottle) ,2.0,Zoetermeer,Markets
156,Cigarettes 20 Pack (Marlboro) ,8.0,Zoetermeer,Markets
157,"Meal, Inexpensive Restaurant ",18.5,Zoetermeer,Restaurants
158,"Meal for 2 People, Mid-range Restaurant, Three-course ",71.5,Zoetermeer,Restaurants
159,McMeal at McDonalds (or Equivalent Combo Meal) ,7.9,Zoetermeer,Restaurants
160,Domestic Beer (0.5 liter draught) ,3.93,Zoetermeer,Restaurants
161,Imported Beer (0.33 liter bottle) ,5.0,Zoetermeer,Restaurants
162,Cappuccino (regular) ,3.0,Zoetermeer,Restaurants
163,Coke/Pepsi (0.33 liter bottle) ,2.3,Zoetermeer,Restaurants
164,Water (0.33 liter bottle)  ,1.52,Zoetermeer,Restaurants
165,Average Monthly Net Salary (After Tax) ,1550.5,Zeist,Salaries And Financing
166,"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate ",1.98,Zeist,Salaries And Financing
167,Price per Square Meter to Buy Apartment in City Centre ,3250.0,Zeist,Buy Apartment Price
168,Price per Square Meter to Buy Apartment Outside of Centre ,1743.5,Zeist,Buy Apartment Price
169,Apartment (1 bedroom) in City Centre ,1043.33,Zeist,Rent Per Month
170,Apartment (1 bedroom) Outside of Centre ,883.33,Zeist,Rent Per Month
171,Apartment (3 bedrooms) in City Centre ,1866.67,Zeist,Rent Per Month
172,Apartment (3 bedrooms) Outside of Centre ,1633.33,Zeist,Rent Per Month
173,1 Pair of Jeans (Levis 501 Or Similar) ,65.0,Zeist,Clothing And Shoes
174,"1 Summer Dress in a Chain Store (Zara, H&M, ...) ",65.0,Zeist,Clothing And Shoes
175,1 Pair of Nike Running Shoes (Mid-Range) ,72.5,Zeist,Clothing And Shoes
176,1 Pair of Men Leather Business Shoes ,104.28,Zeist,Clothing And Shoes
177,"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child ",2980.0,Zeist,Childcare
178,"International Primary School, Yearly for 1 Child ",16500.0,Zeist,Childcare
179,"Fitness Club, Monthly Fee for 1 Adult ",50.83,Zeist,Sports And Leisure
180,Tennis Court Rent (1 Hour on Weekend) ,18.0,Zeist,Sports And Leisure
181,"Cinema, International Release, 1 Seat ",13.25,Zeist,Sports And Leisure
182,"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment ",198.0,Zeist,Utilities (Monthly)
183,1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) ,0.35,Zeist,Utilities (Monthly)
184,"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) ",47.9,Zeist,Utilities (Monthly)
185,One-way Ticket (Local Transport) ,3.25,Zeist,Transportation
186,Monthly Pass (Regular Price) ,90.0,Zeist,Transportation
187,Taxi Start (Normal Tariff) ,4.0,Zeist,Transportation
188,Taxi 1km (Normal Tariff) ,2.5,Zeist,Transportation
189,Taxi 1hour Waiting (Normal Tariff) ,44.92,Zeist,Transportation
190,Gasoline (1 liter) ,1.65,Zeist,Transportation
