,id,alias,name,image_url,is_closed,url,review_count,categories,rating,transactions,phone,display_phone,distance,price,date,latitude,longitude,address1,address2,address3,city,zip_code,country,state,coordinates,location
0,dGr6rVcJuND0J2miDIc8aw,kunstmuseum-den-haag-den-haag,Kunstmuseum Den Haag,https://s3-media4.fl.yelpcdn.com/bphoto/neZpaX2mY1Z0IRbkKqQx1g/o.jpg,False,https://www.yelp.com/biz/kunstmuseum-den-haag-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,11,Museums,4.5,[],31703381111.0,+31 70 338 1111,2778.838327009013,0.0,2021-08-13,52.089373658796,4.28058819924,Stadhouderslaan 41,,,Den Haag,2517 HV,NL,ZH,,
1,MzsbJAFDQIhnbH-UcoTqKg,o-caseys-den-haag,O'Casey's,https://s3-media1.fl.yelpcdn.com/bphoto/maxJqMfEwgwKWHPTKmcYbQ/o.jpg,False,https://www.yelp.com/biz/o-caseys-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,12,Irish,4.0,[],31703630698.0,+31 70 363 0698,1209.6327205679167,2.0,2021-08-13,52.08236,4.3055899,Noordeinde 140,,,Den Haag,2514 GP,NL,ZH,,
2,DSzls21GrndPFAn0rSZ-xQ,lebkov-en-sons-den-haag-den-haag-2,Lebkov & Sons Den Haag,https://s3-media2.fl.yelpcdn.com/bphoto/RUI7vgamW5CkHsE8pN-LOg/o.jpg,False,https://www.yelp.com/biz/lebkov-en-sons-den-haag-den-haag-2?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,7,Sandwiches,4.5,[],31703458948.0,+31 70 345 8948,1173.5030300987296,1.0,2021-08-13,52.079404923018,4.3211731002307,Turfmarkt 236,,,Den Haag,2511 DJ,NL,ZH,,
3,6a20HzyVb8GYVpVYL9jPuQ,ramna-tnadoori-indian-den-haag,Ramna Tnadoori Indian,https://s3-media2.fl.yelpcdn.com/bphoto/N8aRVgrXGxi5wBSoPLdVXw/o.jpg,False,https://www.yelp.com/biz/ramna-tnadoori-indian-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,8,Indian,4.5,[],31703465757.0,+31 70 346 5757,936.3172720010778,2.0,2021-08-13,52.0800399,4.30715,Molenstraat 12,,,Den Haag,2513 BK,NL,ZH,,
4,-JZYxTWhoM1LrI4l6R9bDQ,de-bakkerswinkel-den-haag,De Bakkerswinkel,https://s3-media3.fl.yelpcdn.com/bphoto/tZzvvzeinLwnRyRmeXs3nQ/o.jpg,False,https://www.yelp.com/biz/de-bakkerswinkel-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,7,Cafes,4.5,[],31703020756.0,+31 70 302 0756,854.523934524114,2.0,2021-08-13,52.0786145,4.3038311,Torenstraat 142,,,Den Haag,2513 BW,NL,ZH,,
5,AOUiByjtBP7Bb7h6cqrEoQ,naga-thai-den-haag,Naga Thai,https://s3-media1.fl.yelpcdn.com/bphoto/CmKAM6_PsZGNI_acU737jA/o.jpg,False,https://www.yelp.com/biz/naga-thai-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,13,Thai,4.0,[],31703558857.0,+31 70 355 8857,3093.163468600741,2.0,2021-08-13,52.0897772,4.2749414,Frederik Hendriklaan 264,,,Den Haag,2582 BN,NL,ZH,,
6,-d12b1SNgYjDNAutdr4M9g,koffiebranderij-boon-den-haag,Koffiebranderij BOON,https://s3-media4.fl.yelpcdn.com/bphoto/ULWUdSnUwjjfrPHmc-UzEQ/o.jpg,False,https://www.yelp.com/biz/koffiebranderij-boon-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,6,Coffee & Tea,4.5,[],31707444972.0,+31 70 744 4972,966.3013609399986,1.0,2021-08-13,52.07981,4.30414,Prinsestraat 114,,,Den Haag,2513 CH,NL,ZH,,
7,fv9q-w-ei3rZp1vLBNA36w,crunch-cafe-den-haag,Crunch Cafe,https://s3-media1.fl.yelpcdn.com/bphoto/nAJRoY8GUu0nq5nkc8zZWQ/o.jpg,False,https://www.yelp.com/biz/crunch-cafe-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,16,Breakfast & Brunch,3.5,[],31703640552.0,+31 70 364 0552,1336.1931524162742,2.0,2021-08-13,52.08118,4.2972,Piet Heinstraat 108A,,,Den Haag,2518 CM,NL,ZH,,
8,LYojSh32KwGDyRsni8puLg,club-vers-den-haag,Club Vers,https://s3-media1.fl.yelpcdn.com/bphoto/11Gi2iFgNUM_0M-Qk4DwPw/o.jpg,False,https://www.yelp.com/biz/club-vers-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,4,Breakfast & Brunch,5.0,[],31708912860.0,+31 70 891 2860,800.1147294279053,0.0,2021-08-13,52.071384,4.32108,Stationsweg 136a,,,Den Haag,2515 BS,NL,ZH,,
9,nIQKdpGVgWu9-gEH5Qv85g,ristorante-tanta-roba-den-haag,Ristorante Tanta Roba,https://s3-media1.fl.yelpcdn.com/bphoto/qGir_dCLIpPfeHhj9FaAnw/o.jpg,False,https://www.yelp.com/biz/ristorante-tanta-roba-den-haag?adjust_creative=L5zlsfdYmuVOUUJOF5p5Ng&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=L5zlsfdYmuVOUUJOF5p5Ng,5,Italian,5.0,[],31703454396.0,+31 70 345 4396,1520.3387781328042,3.0,2021-08-13,52.0847893,4.3028898,Zeestraat 58,,,Den Haag,2518 AB,NL,ZH,,
